   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -11.66065 -11.68795 -11.71580 -11.74314 -11.76880 -11.79230 -11.81463 -11.83655
 -11.85867 -11.88131 -11.90268 -11.92220 -11.94107 -11.95903 -11.97577 -11.99100
 -12.00381 -12.01445 -12.02335 -12.03030 -12.03540 -12.03842 -12.03833 -12.03343
 -11.79523 -11.82380 -11.85315 -11.88202 -11.90902 -11.93345 -11.95620 -11.97904
 -12.00290 -12.02669 -12.04935 -12.07044 -12.09021 -12.10907 -12.12691 -12.14308
 -12.15667 -12.16777 -12.17676 -12.18408 -12.18990 -12.19437 -12.19745 -12.19755
 -11.93595 -11.96286 -11.99108 -12.01902 -12.04484 -12.06777 -12.08928 -12.11080
 -12.13296 -12.15522 -12.17646 -12.19601 -12.21401 -12.23135 -12.24788 -12.26257
 -12.27519 -12.28539 -12.29328 -12.30034 -12.30654 -12.31173 -12.31634 -12.32042
 -12.05345 -12.07609 -12.09996 -12.12369 -12.14561 -12.16499 -12.18291 -12.20047
 -12.21832 -12.23642 -12.25376 -12.26951 -12.28360 -12.29727 -12.31068 -12.32280
 -12.33261 -12.34034 -12.34692 -12.35288 -12.35891 -12.36509 -12.37068 -12.37780
 -12.15187 -12.16975 -12.18807 -12.20610 -12.22294 -12.23810 -12.25188 -12.26525
 -12.27883 -12.29227 -12.30502 -12.31677 -12.32755 -12.33786 -12.34776 -12.35680
